fecha,pm10
2017-01-09 13:59:59+00:00,40.2
2017-01-09 14:59:59+00:00,54.7
2017-01-09 15:59:59+00:00,19.8
2017-01-09 16:59:59+00:00,39.6
2017-01-09 17:59:59+00:00,32.5
2017-01-09 18:59:59+00:00,32.6
2017-01-09 19:59:59+00:00,29.0
2017-01-09 20:59:59+00:00,50.5
2017-01-09 21:59:59+00:00,25.8
2017-01-09 22:59:59+00:00,34.3
2017-01-09 23:59:59+00:00,33.1
2017-01-10 00:59:59+00:00,20.9
2017-01-10 01:59:59+00:00,20.8
2017-01-10 02:59:59+00:00,17.4
2017-01-10 03:59:59+00:00,21.2
2017-01-10 04:59:59+00:00,27.6
2017-01-10 05:59:59+00:00,37.7
2017-01-10 06:59:59+00:00,46.0
2017-01-10 07:59:59+00:00,84.7
2017-01-10 08:59:59+00:00,63.4
2017-01-10 09:59:59+00:00,47.0
2017-01-10 10:59:59+00:00,45.0
2017-01-10 11:59:59+00:00,26.0
2017-01-10 12:59:59+00:00,45.0
2017-01-10 13:59:59+00:00,37.3
2017-01-10 14:59:59+00:00,55.3
2017-01-10 15:59:59+00:00,50.8
2017-01-10 16:59:59+00:00,66.7
2017-01-10 17:59:59+00:00,71.7
2017-01-10 18:59:59+00:00,56.6
2017-01-10 19:59:59+00:00,54.6
2017-01-10 20:59:59+00:00,41.6
2017-01-10 21:59:59+00:00,41.1
2017-01-10 22:59:59+00:00,43.8
2017-01-10 23:59:59+00:00,31.6
2017-01-11 00:59:59+00:00,44.6
2017-01-11 01:59:59+00:00,35.5
2017-01-11 02:59:59+00:00,32.4
2017-01-11 03:59:59+00:00,25.7
2017-01-11 04:59:59+00:00,22.6
2017-01-11 05:59:59+00:00,33.1
2017-01-11 06:59:59+00:00,27.9
2017-01-11 07:59:59+00:00,35.9
2017-01-11 08:59:59+00:00,70.4
2017-01-11 09:59:59+00:00,92.4
2017-01-11 10:59:59+00:00,70.4
2017-01-11 11:59:59+00:00,29.8
2017-01-11 12:59:59+00:00,34.8
2017-01-11 13:59:59+00:00,39.9
2017-01-11 14:59:59+00:00,28.0
2017-01-11 15:59:59+00:00,56.4
2017-01-11 16:59:59+00:00,53.4
2017-01-11 17:59:59+00:00,63.6
2017-01-11 18:59:59+00:00,56.1
2017-01-11 19:59:59+00:00,80.0
2017-01-11 20:59:59+00:00,87.4
2017-01-11 21:59:59+00:00,66.5
2017-01-11 22:59:59+00:00,34.5
2017-01-11 23:59:59+00:00,35.6
2017-01-12 00:59:59+00:00,35.1
2017-01-12 01:59:59+00:00,43.9
2017-01-12 02:59:59+00:00,7.1
2017-01-12 03:59:59+00:00,10.3
2017-01-12 04:59:59+00:00,6.6
2017-01-12 05:59:59+00:00,11.9
2017-01-12 06:59:59+00:00,37.7
2017-01-12 07:59:59+00:00,85.59999999999998
2017-01-12 08:59:59+00:00,79.9
2017-01-12 09:59:59+00:00,77.59999999999998
2017-01-12 10:59:59+00:00,84.7
2017-01-12 11:59:59+00:00,63.3
2017-01-12 12:59:59+00:00,66.1
2017-01-12 13:59:59+00:00,48.2
2017-01-12 14:59:59+00:00,48.2
2017-01-12 15:59:59+00:00,54.7
2017-01-12 16:59:59+00:00,54.6
2017-01-12 17:59:59+00:00,80.59999999999998
2017-01-12 18:59:59+00:00,54.0
2017-01-12 19:59:59+00:00,45.4
2017-01-12 20:59:59+00:00,29.8
2017-01-12 21:59:59+00:00,32.8
2017-01-12 22:59:59+00:00,42.3
2017-01-12 23:59:59+00:00,52.5
2017-01-13 00:59:59+00:00,24.1
2017-01-13 01:59:59+00:00,36.7
2017-01-13 02:59:59+00:00,22.8
2017-01-13 03:59:59+00:00,27.2
2017-01-13 04:59:59+00:00,31.1
2017-01-13 05:59:59+00:00,34.8
2017-01-13 06:59:59+00:00,48.0
2017-01-13 07:59:59+00:00,70.0
2017-01-13 08:59:59+00:00,69.7
2017-01-13 09:59:59+00:00,75.59999999999998
2017-01-13 10:59:59+00:00,64.0
2017-01-13 11:59:59+00:00,78.7
2017-01-13 12:59:59+00:00,65.5
2017-01-13 13:59:59+00:00,71.7
2017-01-13 14:59:59+00:00,59.7
2017-01-13 15:59:59+00:00,50.3
2017-01-13 16:59:59+00:00,62.0
2017-01-13 17:59:59+00:00,52.5
2017-01-13 18:59:59+00:00,39.7
2017-01-13 19:59:59+00:00,27.7
2017-01-13 20:59:59+00:00,28.8
2017-01-13 21:59:59+00:00,27.1
2017-01-13 22:59:59+00:00,37.7
2017-01-13 23:59:59+00:00,39.6
2017-01-14 00:59:59+00:00,46.9
2017-01-14 01:59:59+00:00,8.099999999999998
2017-01-14 02:59:59+00:00,17.9
2017-01-14 03:59:59+00:00,66.7
2017-01-14 04:59:59+00:00,57.6
2017-01-14 05:59:59+00:00,26.7
2017-01-14 06:59:59+00:00,33.0
2017-01-14 07:59:59+00:00,47.3
2017-01-14 08:59:59+00:00,52.2
